country,iso2,rank,highway_tag,interpretation,ways,maxspeed_tagged,maxspeed_share_pct
Iceland,IS,7,secondary,Secondary inter-settlement connectors in the network hierarchy.,2914,2095,71.8943
Iceland,IS,7,tertiary,Tertiary connectors between local centers.,3922,2733,69.6838
Iceland,IS,7,unclassified,Minor public through roads (not unknown class).,5423,1409,25.9819
Iceland,IS,7,primary,Primary roads with high network importance below trunk/motorway.,2797,2567,91.7769
Iceland,IS,7,living_street,Traffic-calmed shared street.,179,166,92.7374
Iceland,IS,7,motorway,Controlled-access motorway corridor.,0,0,0.0000
Iceland,IS,7,motorway_link,Motorway ramps/connectors.,0,0,0.0000
Iceland,IS,7,trunk,Major non-motorway long-distance routes.,1666,1644,98.6795
Iceland,IS,7,trunk_link,Connector ramps between trunk and other classes.,369,287,77.7778
Iceland,IS,7,primary_link,Connector ramps related to primary roads.,188,169,89.8936
Iceland,IS,7,secondary_link,Connector ramps related to secondary roads.,86,72,83.7209
Iceland,IS,7,tertiary_link,Connector ramps related to tertiary roads.,55,41,74.5455
Iceland,IS,7,road,Temporary placeholder until precise class is surveyed.,0,0,0.0000
Monaco,MC,8,service,"Access roads to premises, parking, and service areas.",399,26,6.5163
Monaco,MC,8,residential,Roads primarily serving housing areas.,317,59,18.6120
Monaco,MC,8,secondary,Secondary inter-settlement connectors in the network hierarchy.,202,145,71.7822
Monaco,MC,8,tertiary,Tertiary connectors between local centers.,132,47,35.6061
Monaco,MC,8,unclassified,Minor public through roads (not unknown class).,8,3,37.5000
Monaco,MC,8,primary,Primary roads with high network importance below trunk/motorway.,135,63,46.6667
Monaco,MC,8,living_street,Traffic-calmed shared street.,1,1,100.0000
Monaco,MC,8,motorway,Controlled-access motorway corridor.,0,0,0.0000
Monaco,MC,8,motorway_link,Motorway ramps/connectors.,0,0,0.0000
Monaco,MC,8,trunk,Major non-motorway long-distance routes.,0,0,0.0000
Monaco,MC,8,trunk_link,Connector ramps between trunk and other classes.,0,0,0.0000
Monaco,MC,8,primary_link,Connector ramps related to primary roads.,14,1,7.1429
Monaco,MC,8,secondary_link,Connector ramps related to secondary roads.,13,9,69.2308
Monaco,MC,8,tertiary_link,Connector ramps related to tertiary roads.,3,1,33.3333
Monaco,MC,8,road,Temporary placeholder until precise class is surveyed.,0,0,0.0000
United Kingdom,GB,9,service,"Access roads to premises, parking, and service areas.",2561705,108225,4.2247
United Kingdom,GB,9,residential,Roads primarily serving housing areas.,1301644,494346,37.9786
United Kingdom,GB,9,secondary,Secondary inter-settlement connectors in the network hierarchy.,110831,92778,83.7112
United Kingdom,GB,9,tertiary,Tertiary connectors between local centers.,227242,158024,69.5400
United Kingdom,GB,9,unclassified,Minor public through roads (not unknown class).,342518,123507,36.0585
United Kingdom,GB,9,primary,Primary roads with high network importance below trunk/motorway.,157375,146204,92.9017
United Kingdom,GB,9,living_street,Traffic-calmed shared street.,11218,3371,30.0499
United Kingdom,GB,9,motorway,Controlled-access motorway corridor.,10896,10896,100.0000
United Kingdom,GB,9,motorway_link,Motorway ramps/connectors.,6779,6287,92.7423
United Kingdom,GB,9,trunk,Major non-motorway long-distance routes.,113805,111128,97.6477
United Kingdom,GB,9,trunk_link,Connector ramps between trunk and other classes.,15920,12795,80.3706
United Kingdom,GB,9,primary_link,Connector ramps related to primary roads.,5657,4460,78.8404
United Kingdom,GB,9,secondary_link,Connector ramps related to secondary roads.,1878,1332,70.9265
United Kingdom,GB,9,tertiary_link,Connector ramps related to tertiary roads.,3307,1855,56.0931
United Kingdom,GB,9,road,Temporary placeholder until precise class is surveyed.,281,8,2.8470
Andorra,AD,10,service,"Access roads to premises, parking, and service areas.",1253,20,1.5962
Andorra,AD,10,residential,Roads primarily serving housing areas.,902,78,8.6475
Andorra,AD,10,secondary,Secondary inter-settlement connectors in the network hierarchy.,228,45,19.7368
Andorra,AD,10,tertiary,Tertiary connectors between local centers.,138,32,23.1884
Andorra,AD,10,unclassified,Minor public through roads (not unknown class).,127,8,6.2992
Andorra,AD,10,primary,Primary roads with high network importance below trunk/motorway.,581,414,71.2565
Andorra,AD,10,living_street,Traffic-calmed shared street.,71,21,29.5775
Andorra,AD,10,motorway,Controlled-access motorway corridor.,0,0,0.0000
Andorra,AD,10,motorway_link,Motorway ramps/connectors.,0,0,0.0000
Andorra,AD,10,trunk,Major non-motorway long-distance routes.,317,269,84.8580
Andorra,AD,10,trunk_link,Connector ramps between trunk and other classes.,57,46,80.7018
Andorra,AD,10,primary_link,Connector ramps related to primary roads.,33,22,66.6667
Andorra,AD,10,secondary_link,Connector ramps related to secondary roads.,6,0,0.0000
Andorra,AD,10,tertiary_link,Connector ramps related to tertiary roads.,1,0,0.0000
Andorra,AD,10,road,Temporary placeholder until precise class is surveyed.,0,0,0.0000
Switzerland,CH,11,service,"Access roads to premises, parking, and service areas.",455581,13497,2.9626
Switzerland,CH,11,residential,Roads primarily serving housing areas.,188384,70566,37.4586
Switzerland,CH,11,secondary,Secondary inter-settlement connectors in the network hierarchy.,36621,31974,87.3106
Switzerland,CH,11,tertiary,Tertiary connectors between local centers.,50632,33988,67.1275
Switzerland,CH,11,unclassified,Minor public through roads (not unknown class).,69776,15030,21.5404
Switzerland,CH,11,primary,Primary roads with high network importance below trunk/motorway.,34745,32318,93.0148
Switzerland,CH,11,living_street,Traffic-calmed shared street.,6506,4302,66.1236
Switzerland,CH,11,motorway,Controlled-access motorway corridor.,8906,8860,99.4835
Switzerland,CH,11,motorway_link,Motorway ramps/connectors.,5985,4041,67.5188
Switzerland,CH,11,trunk,Major non-motorway long-distance routes.,2390,2244,93.8912
Switzerland,CH,11,trunk_link,Connector ramps between trunk and other classes.,1066,636,59.6623
Switzerland,CH,11,primary_link,Connector ramps related to primary roads.,1103,682,61.8314
Switzerland,CH,11,secondary_link,Connector ramps related to secondary roads.,681,431,63.2893
Switzerland,CH,11,tertiary_link,Connector ramps related to tertiary roads.,422,188,44.5498
Switzerland,CH,11,road,Temporary placeholder until precise class is surveyed.,44,0,0.0000
Hungary,HU,12,service,"Access roads to premises, parking, and service areas.",190496,8025,4.2127
Hungary,HU,12,residential,Roads primarily serving housing areas.,184998,43375,23.4462
Hungary,HU,12,secondary,Secondary inter-settlement connectors in the network hierarchy.,37881,19034,50.2468
Hungary,HU,12,tertiary,Tertiary connectors between local centers.,25882,12902,49.8493
Hungary,HU,12,unclassified,Minor public through roads (not unknown class).,24430,3574,14.6296
Hungary,HU,12,primary,Primary roads with high network importance below trunk/motorway.,28634,23212,81.0645
Hungary,HU,12,living_street,Traffic-calmed shared street.,8715,6270,71.9449
Hungary,HU,12,motorway,Controlled-access motorway corridor.,4208,4128,98.0989
Hungary,HU,12,motorway_link,Motorway ramps/connectors.,2744,1710,62.3178
Hungary,HU,12,trunk,Major non-motorway long-distance routes.,1996,1910,95.6914
Hungary,HU,12,trunk_link,Connector ramps between trunk and other classes.,1339,807,60.2689
Hungary,HU,12,primary_link,Connector ramps related to primary roads.,1843,1077,58.4373
Hungary,HU,12,secondary_link,Connector ramps related to secondary roads.,639,425,66.5102
Hungary,HU,12,tertiary_link,Connector ramps related to tertiary roads.,547,265,48.4461
Hungary,HU,12,road,Temporary placeholder until precise class is surveyed.,50,0,0.0000
Austria,AT,13,service,"Access roads to premises, parking, and service areas.",701837,21246,3.0272
Austria,AT,13,residential,Roads primarily serving housing areas.,259137,101817,39.2908
Austria,AT,13,secondary,Secondary inter-settlement connectors in the network hierarchy.,51836,38527,74.3248
Austria,AT,13,tertiary,Tertiary connectors between local centers.,56475,33493,59.3059
Austria,AT,13,unclassified,Minor public through roads (not unknown class).,94981,15190,15.9927
Austria,AT,13,primary,Primary roads with high network importance below trunk/motorway.,58374,51670,88.5154
Austria,AT,13,living_street,Traffic-calmed shared street.,5687,1707,30.0158
Austria,AT,13,motorway,Controlled-access motorway corridor.,14393,14354,99.7290
Austria,AT,13,motorway_link,Motorway ramps/connectors.,7442,4424,59.4464
Austria,AT,13,trunk,Major non-motorway long-distance routes.,2689,2560,95.2027
Austria,AT,13,trunk_link,Connector ramps between trunk and other classes.,1045,585,55.9809
Austria,AT,13,primary_link,Connector ramps related to primary roads.,3083,1616,52.4165
Austria,AT,13,secondary_link,Connector ramps related to secondary roads.,389,239,61.4396
Austria,AT,13,tertiary_link,Connector ramps related to tertiary roads.,327,172,52.5994
Austria,AT,13,road,Temporary placeholder until precise class is surveyed.,24,0,0.0000
Czech Republic,CZ,14,service,"Access roads to premises, parking, and service areas.",355123,14497,4.0822
Czech Republic,CZ,14,residential,Roads primarily serving housing areas.,275254,54748,19.8900
Czech Republic,CZ,14,secondary,Secondary inter-settlement connectors in the network hierarchy.,52521,35016,66.6705
Czech Republic,CZ,14,tertiary,Tertiary connectors between local centers.,88327,36779,41.6396
Czech Republic,CZ,14,unclassified,Minor public through roads (not unknown class).,29272,3570,12.1960
Czech Republic,CZ,14,primary,Primary roads with high network importance below trunk/motorway.,24634,20892,84.8096
Czech Republic,CZ,14,living_street,Traffic-calmed shared street.,14835,6255,42.1638
Czech Republic,CZ,14,motorway,Controlled-access motorway corridor.,6841,6732,98.4067
Czech Republic,CZ,14,motorway_link,Motorway ramps/connectors.,3595,1713,47.6495
Czech Republic,CZ,14,trunk,Major non-motorway long-distance routes.,3919,3827,97.6525
Czech Republic,CZ,14,trunk_link,Connector ramps between trunk and other classes.,2374,1654,69.6714
Czech Republic,CZ,14,primary_link,Connector ramps related to primary roads.,2012,1114,55.3678
Czech Republic,CZ,14,secondary_link,Connector ramps related to secondary roads.,1148,575,50.0871
Czech Republic,CZ,14,tertiary_link,Connector ramps related to tertiary roads.,739,316,42.7605
Czech Republic,CZ,14,road,Temporary placeholder until precise class is surveyed.,13,1,7.6923
France,FR,15,service,"Access roads to premises, parking, and service areas.",2954574,93467,3.1635
France,FR,15,residential,Roads primarily serving housing areas.,1683250,439352,26.1014
France,FR,15,secondary,Secondary inter-settlement connectors in the network hierarchy.,427491,258682,60.5117
France,FR,15,tertiary,Tertiary connectors between local centers.,597994,250974,41.9693
France,FR,15,unclassified,Minor public through roads (not unknown class).,1001000,121758,12.1636
France,FR,15,primary,Primary roads with high network importance below trunk/motorway.,264564,204135,77.1590
France,FR,15,living_street,Traffic-calmed shared street.,50343,25748,51.1451
France,FR,15,motorway,Controlled-access motorway corridor.,30582,29789,97.4070
France,FR,15,motorway_link,Motorway ramps/connectors.,25347,15977,63.0331
France,FR,15,trunk,Major non-motorway long-distance routes.,29742,28379,95.4173
France,FR,15,trunk_link,Connector ramps between trunk and other classes.,18727,10663,56.9392
France,FR,15,primary_link,Connector ramps related to primary roads.,13570,6579,48.4819
France,FR,15,secondary_link,Connector ramps related to secondary roads.,6851,2837,41.4100
France,FR,15,tertiary_link,Connector ramps related to tertiary roads.,5494,1684,30.6516
France,FR,15,road,Temporary placeholder until precise class is surveyed.,1793,20,1.1154
Serbia,RS,16,service,"Access roads to premises, parking, and service areas.",115835,4483,3.8702
Serbia,RS,16,residential,Roads primarily serving housing areas.,143904,16322,11.3423
Serbia,RS,16,secondary,Secondary inter-settlement connectors in the network hierarchy.,26064,19714,75.6369
Serbia,RS,16,tertiary,Tertiary connectors between local centers.,17943,9068,50.5378
Serbia,RS,16,unclassified,Minor public through roads (not unknown class).,44998,1639,3.6424
Serbia,RS,16,primary,Primary roads with high network importance below trunk/motorway.,20428,16379,80.1792
Serbia,RS,16,living_street,Traffic-calmed shared street.,1497,341,22.7789
Serbia,RS,16,motorway,Controlled-access motorway corridor.,4621,4575,99.0045
Serbia,RS,16,motorway_link,Motorway ramps/connectors.,2110,1804,85.4976
Serbia,RS,16,trunk,Major non-motorway long-distance routes.,1526,1487,97.4443
Serbia,RS,16,trunk_link,Connector ramps between trunk and other classes.,552,477,86.4130
Serbia,RS,16,primary_link,Connector ramps related to primary roads.,1179,682,57.8456
Serbia,RS,16,secondary_link,Connector ramps related to secondary roads.,710,453,63.8028
Serbia,RS,16,tertiary_link,Connector ramps related to tertiary roads.,272,164,60.2941
Serbia,RS,16,road,Temporary placeholder until precise class is surveyed.,2,0,0.0000
Slovakia,SK,17,service,"Access roads to premises, parking, and service areas.",180544,10153,5.6236
Slovakia,SK,17,residential,Roads primarily serving housing areas.,109916,16214,14.7513
Slovakia,SK,17,secondary,Secondary inter-settlement connectors in the network hierarchy.,12563,9911,78.8904
Slovakia,SK,17,tertiary,Tertiary connectors between local centers.,29042,15331,52.7891
Slovakia,SK,17,unclassified,Minor public through roads (not unknown class).,8826,1570,17.7884
Slovakia,SK,17,primary,Primary roads with high network importance below trunk/motorway.,15403,12814,83.1916
Slovakia,SK,17,living_street,Traffic-calmed shared street.,2790,692,24.8029
Slovakia,SK,17,motorway,Controlled-access motorway corridor.,3737,3715,99.4113
Slovakia,SK,17,motorway_link,Motorway ramps/connectors.,1967,1490,75.7499
Slovakia,SK,17,trunk,Major non-motorway long-distance routes.,622,574,92.2830
Slovakia,SK,17,trunk_link,Connector ramps between trunk and other classes.,402,340,84.5771
Slovakia,SK,17,primary_link,Connector ramps related to primary roads.,1112,843,75.8094
Slovakia,SK,17,secondary_link,Connector ramps related to secondary roads.,349,228,65.3295
Slovakia,SK,17,tertiary_link,Connector ramps related to tertiary roads.,404,228,56.4356
Slovakia,SK,17,road,Temporary placeholder until precise class is surveyed.,4,0,0.0000
Malta,MT,18,service,"Access roads to premises, parking, and service areas.",8406,317,3.7711
Malta,MT,18,residential,Roads primarily serving housing areas.,9751,2040,20.9209
Malta,MT,18,secondary,Secondary inter-settlement connectors in the network hierarchy.,1546,500,32.3415
Malta,MT,18,tertiary,Tertiary connectors between local centers.,1757,519,29.5390
Malta,MT,18,unclassified,Minor public through roads (not unknown class).,1750,99,5.6571
Malta,MT,18,primary,Primary roads with high network importance below trunk/motorway.,1005,463,46.0697
Malta,MT,18,living_street,Traffic-calmed shared street.,486,22,4.5267
Malta,MT,18,motorway,Controlled-access motorway corridor.,0,0,0.0000
Malta,MT,18,motorway_link,Motorway ramps/connectors.,0,0,0.0000
Malta,MT,18,trunk,Major non-motorway long-distance routes.,1004,626,62.3506
Malta,MT,18,trunk_link,Connector ramps between trunk and other classes.,227,51,22.4670
Malta,MT,18,primary_link,Connector ramps related to primary roads.,60,7,11.6667
Malta,MT,18,secondary_link,Connector ramps related to secondary roads.,62,7,11.2903
Malta,MT,18,tertiary_link,Connector ramps related to tertiary roads.,38,7,18.4211
Malta,MT,18,road,Temporary placeholder until precise class is surveyed.,0,0,0.0000
Ireland and Northern Ireland,IE,19,service,"Access roads to premises, parking, and service areas.",711640,8570,1.2043
Ireland and Northern Ireland,IE,19,residential,Roads primarily serving housing areas.,137726,55181,40.0658
Ireland and Northern Ireland,IE,19,secondary,Secondary inter-settlement connectors in the network hierarchy.,46093,37868,82.1556
Ireland and Northern Ireland,IE,19,tertiary,Tertiary connectors between local centers.,51625,32063,62.1075
Ireland and Northern Ireland,IE,19,unclassified,Minor public through roads (not unknown class).,120563,35448,29.4021
Ireland and Northern Ireland,IE,19,primary,Primary roads with high network importance below trunk/motorway.,11389,10543,92.5718
Ireland and Northern Ireland,IE,19,living_street,Traffic-calmed shared street.,578,141,24.3945
Ireland and Northern Ireland,IE,19,motorway,Controlled-access motorway corridor.,1936,1935,99.9483
Ireland and Northern Ireland,IE,19,motorway_link,Motorway ramps/connectors.,1526,1212,79.4233
Ireland and Northern Ireland,IE,19,trunk,Major non-motorway long-distance routes.,10443,10189,97.5677
Ireland and Northern Ireland,IE,19,trunk_link,Connector ramps between trunk and other classes.,1731,1398,80.7626
Ireland and Northern Ireland,IE,19,primary_link,Connector ramps related to primary roads.,188,167,88.8298
Ireland and Northern Ireland,IE,19,secondary_link,Connector ramps related to secondary roads.,723,587,81.1895
Ireland and Northern Ireland,IE,19,tertiary_link,Connector ramps related to tertiary roads.,443,326,73.5892
Ireland and Northern Ireland,IE,19,road,Temporary placeholder until precise class is surveyed.,0,0,0.0000
Denmark,DK,20,service,"Access roads to premises, parking, and service areas.",562974,5104,0.9066
Denmark,DK,20,residential,Roads primarily serving housing areas.,167442,41665,24.8832
Denmark,DK,20,secondary,Secondary inter-settlement connectors in the network hierarchy.,20871,20731,99.3292
Denmark,DK,20,tertiary,Tertiary connectors between local centers.,62000,56774,91.5710
Denmark,DK,20,unclassified,Minor public through roads (not unknown class).,50510,15559,30.8038
Denmark,DK,20,primary,Primary roads with high network importance below trunk/motorway.,9875,9755,98.7848
Denmark,DK,20,living_street,Traffic-calmed shared street.,2713,544,20.0516
Denmark,DK,20,motorway,Controlled-access motorway corridor.,2660,2658,99.9248
Denmark,DK,20,motorway_link,Motorway ramps/connectors.,2805,1397,49.8039
Denmark,DK,20,trunk,Major non-motorway long-distance routes.,1168,1138,97.4315
Denmark,DK,20,trunk_link,Connector ramps between trunk and other classes.,378,238,62.9630
Denmark,DK,20,primary_link,Connector ramps related to primary roads.,809,551,68.1088
Denmark,DK,20,secondary_link,Connector ramps related to secondary roads.,1048,784,74.8092
Denmark,DK,20,tertiary_link,Connector ramps related to tertiary roads.,1155,812,70.3030
Denmark,DK,20,road,Temporary placeholder until precise class is surveyed.,0,0,0.0000
Finland,FI,21,service,"Access roads to premises, parking, and service areas.",594258,7454,1.2543
Finland,FI,21,residential,Roads primarily serving housing areas.,163186,56532,34.6427
Finland,FI,21,secondary,Secondary inter-settlement connectors in the network hierarchy.,32767,27277,83.2453
Finland,FI,21,tertiary,Tertiary connectors between local centers.,49508,29978,60.5518
Finland,FI,21,unclassified,Minor public through roads (not unknown class).,109192,11723,10.7361
Finland,FI,21,primary,Primary roads with high network importance below trunk/motorway.,13142,12092,92.0103
Finland,FI,21,living_street,Traffic-calmed shared street.,2801,704,25.1339
Finland,FI,21,motorway,Controlled-access motorway corridor.,3630,3598,99.1185
Finland,FI,21,motorway_link,Motorway ramps/connectors.,3303,2198,66.5456
Finland,FI,21,trunk,Major non-motorway long-distance routes.,14662,13655,93.1319
Finland,FI,21,trunk_link,Connector ramps between trunk and other classes.,3685,2085,56.5807
Finland,FI,21,primary_link,Connector ramps related to primary roads.,602,379,62.9568
Finland,FI,21,secondary_link,Connector ramps related to secondary roads.,433,231,53.3487
Finland,FI,21,tertiary_link,Connector ramps related to tertiary roads.,145,78,53.7931
Finland,FI,21,road,Temporary placeholder until precise class is surveyed.,5630,3,0.0533
Spain,ES,22,service,"Access roads to premises, parking, and service areas.",540927,21039,3.8894
Spain,ES,22,residential,Roads primarily serving housing areas.,1157088,131896,11.3990
Spain,ES,22,secondary,Secondary inter-settlement connectors in the network hierarchy.,129704,49106,37.8601
Spain,ES,22,tertiary,Tertiary connectors between local centers.,261818,64507,24.6381
Spain,ES,22,unclassified,Minor public through roads (not unknown class).,241058,13801,5.7252
Spain,ES,22,primary,Primary roads with high network importance below trunk/motorway.,91682,44911,48.9856
Spain,ES,22,living_street,Traffic-calmed shared street.,82982,15186,18.3004
Spain,ES,22,motorway,Controlled-access motorway corridor.,44591,38572,86.5018
Spain,ES,22,motorway_link,Motorway ramps/connectors.,40695,14241,34.9945
Spain,ES,22,trunk,Major non-motorway long-distance routes.,59021,31856,53.9740
Spain,ES,22,trunk_link,Connector ramps between trunk and other classes.,21139,4924,23.2934
Spain,ES,22,primary_link,Connector ramps related to primary roads.,18667,3845,20.5978
Spain,ES,22,secondary_link,Connector ramps related to secondary roads.,15443,3039,19.6788
Spain,ES,22,tertiary_link,Connector ramps related to tertiary roads.,15190,2434,16.0237
Spain,ES,22,road,Temporary placeholder until precise class is surveyed.,36,1,2.7778
Belarus,BY,23,service,"Access roads to premises, parking, and service areas.",274846,11945,4.3461
Belarus,BY,23,residential,Roads primarily serving housing areas.,114603,11549,10.0774
Belarus,BY,23,secondary,Secondary inter-settlement connectors in the network hierarchy.,16234,12071,74.3563
Belarus,BY,23,tertiary,Tertiary connectors between local centers.,46492,15857,34.1069
Belarus,BY,23,unclassified,Minor public through roads (not unknown class).,42732,2274,5.3215
Belarus,BY,23,primary,Primary roads with high network importance below trunk/motorway.,20843,17927,86.0097
Belarus,BY,23,living_street,Traffic-calmed shared street.,470,159,33.8298
